hora,target_temp,temp_input,hum_input,bat_input,accion_luz,accion_fan,accion_riego,accion_sleep,solar_w,consumo_w,temp_output,bat_output,recompensa,estado_cpu
8.0,24.0,20.0,50.0,80.0,1,0,0,0,6.18,10.6,20.41,71.16,-4.125,ACTIVE
9.0,24.0,20.5,48.78,71.16,1,0,0,0,11.76,10.6,20.87,73.47,-3.6604,ACTIVE
10.0,24.0,20.93,47.56,73.47,1,0,0,0,16.18,10.6,22.82,84.63,-1.7084,ACTIVE
11.0,24.0,22.79,46.27,84.63,0,0,0,0,19.02,0.6,23.49,100.0,-0.5443,ACTIVE
12.0,24.0,23.57,45.17,100.0,0,0,0,0,20.0,0.6,24.14,100.0,-0.169,ACTIVE
13.0,24.0,24.23,44.04,100.0,0,0,0,0,19.02,0.6,24.8,100.0,-0.8292,ACTIVE
14.0,24.0,24.8,42.9,100.0,0,0,0,1,16.18,0.01,25.3,100.0,-1.2967,SLEEP
15.0,24.0,25.28,41.74,100.0,0,0,0,0,11.76,0.6,25.59,100.0,-1.6179,ACTIVE
16.0,24.0,25.69,40.57,100.0,0,0,0,0,6.18,0.6,24.57,100.0,-0.6033,ACTIVE
17.0,24.0,24.53,39.43,100.0,0,0,1,0,0.0,5.6,23.48,88.8,-0.7953,ACTIVE
18.0,24.0,23.55,53.32,88.8,0,0,0,0,0.0,0.6,22.69,87.6,-1.3421,ACTIVE
19.0,24.0,22.72,52.24,87.6,0,0,0,1,0.0,0.01,22.07,87.58,-1.9266,SLEEP
20.0,24.0,22.01,51.18,87.58,0,0,0,1,0.0,0.01,21.42,87.56,-2.5827,SLEEP
21.0,24.0,21.41,50.14,87.56,0,0,0,1,0.0,0.01,20.87,87.54,-3.1258,SLEEP
22.0,24.0,20.9,49.11,87.54,1,0,0,0,0.0,10.6,21.33,66.34,-3.2,ACTIVE
23.0,24.0,21.26,47.87,66.34,0,0,0,1,0.0,0.01,20.85,66.32,-3.1536,SLEEP
